Date,Domicile,Score,Extérieur,Affluence,Tribune,Arbitre,Notes,xG,xG.1
2025-02-25,Brentford,,Everton,,Gtech Community Stadium,,,,
2025-02-25,Tottenham,,Manchester City,,Tottenham Hotspur Stadium,,,,
2025-02-25,Wolves,,Fulham,,Molineux Stadium,,,,
2025-02-25,Nott'ham Forest,,Arsenal,,The City Ground,,,,
2025-02-25,Brighton,,Bournemouth,,The American Express Stadium,,,,
2025-02-25,Crystal Palace,,Aston Villa,,Selhurst Park,,,,
2025-02-26,Chelsea,,Southampton,,Stamford Bridge,,,,
2025-02-26,Liverpool,,Newcastle Utd,,Anfield,,,,
2025-02-26,Manchester Utd,,Ipswich Town,,Old Trafford,,,,
2025-03-08,Liverpool,,Southampton,,Anfield,,,,
2025-03-08,Chelsea,,Leicester City,,Stamford Bridge,,,,
2025-03-08,Wolves,,Everton,,Molineux Stadium,,,,
2025-03-08,West Ham,,Newcastle Utd,,London Stadium,,,,
2025-03-08,Tottenham,,Bournemouth,,Tottenham Hotspur Stadium,,,,
2025-03-08,Manchester Utd,,Arsenal,,Old Trafford,,,,
2025-03-08,Crystal Palace,,Ipswich Town,,Selhurst Park,,,,
2025-03-08,Nott'ham Forest,,Manchester City,,The City Ground,,,,
2025-03-08,Brighton,,Fulham,,The American Express Stadium,,,,
2025-03-08,Brentford,,Aston Villa,,Gtech Community Stadium,,,,
2025-03-15,Arsenal,,Chelsea,,Emirates Stadium,,,,
2025-03-15,Aston Villa,,Liverpool,,Villa Park,,,,
2025-03-15,Fulham,,Tottenham,,Craven Cottage,,,,
2025-03-15,Newcastle Utd,,Crystal Palace,,St James' Park,,,,
2025-03-15,Leicester City,,Manchester Utd,,King Power Stadium,,,,
2025-03-15,Manchester City,,Brighton,,Etihad Stadium,,,,
2025-03-15,Ipswich Town,,Nott'ham Forest,,Portman Road Stadium,,,,
2025-03-15,Everton,,West Ham,,Goodison Park,,,,
2025-03-15,Southampton,,Wolves,,St Mary's Stadium,,,,
2025-03-15,Bournemouth,,Brentford,,Vitality Stadium,,,,
2025-04-01,Brighton,,Aston Villa,,The American Express Stadium,,,,
2025-04-01,Bournemouth,,Ipswich Town,,Vitality Stadium,,,,
2025-04-01,Wolves,,West Ham,,Molineux Stadium,,,,
2025-04-01,Arsenal,,Fulham,,Emirates Stadium,,,,
2025-04-01,Nott'ham Forest,,Manchester Utd,,The City Ground,,,,
2025-04-02,Southampton,,Crystal Palace,,St Mary's Stadium,,,,
2025-04-02,Chelsea,,Tottenham,,Stamford Bridge,,,,
2025-04-02,Manchester City,,Leicester City,,Etihad Stadium,,,,
2025-04-02,Newcastle Utd,,Brentford,,St James' Park,,,,
2025-04-02,Liverpool,,Everton,,Anfield,,,,
2025-04-05,West Ham,,Bournemouth,,London Stadium,,,,
2025-04-05,Manchester Utd,,Manchester City,,Old Trafford,,,,
2025-04-05,Brentford,,Chelsea,,Gtech Community Stadium,,,,
2025-04-05,Aston Villa,,Nott'ham Forest,,Villa Park,,,,
2025-04-05,Everton,,Arsenal,,Goodison Park,,,,
2025-04-05,Fulham,,Liverpool,,Craven Cottage,,,,
2025-04-05,Ipswich Town,,Wolves,,Portman Road Stadium,,,,
2025-04-05,Leicester City,,Newcastle Utd,,King Power Stadium,,,,
2025-04-05,Crystal Palace,,Brighton,,Selhurst Park,,,,
2025-04-05,Tottenham,,Southampton,,Tottenham Hotspur Stadium,,,,
2025-04-12,Bournemouth,,Fulham,,Vitality Stadium,,,,
2025-04-12,Newcastle Utd,,Manchester Utd,,St James' Park,,,,
2025-04-12,Arsenal,,Brentford,,Emirates Stadium,,,,
2025-04-12,Liverpool,,West Ham,,Anfield,,,,
2025-04-12,Wolves,,Tottenham,,Molineux Stadium,,,,
2025-04-12,Brighton,,Leicester City,,The American Express Stadium,,,,
2025-04-12,Manchester City,,Crystal Palace,,Etihad Stadium,,,,
2025-04-12,Nott'ham Forest,,Everton,,The City Ground,,,,
2025-04-12,Chelsea,,Ipswich Town,,Stamford Bridge,,,,
2025-04-12,Southampton,,Aston Villa,,St Mary's Stadium,,,,
2025-04-19,Leicester City,,Liverpool,,King Power Stadium,,,,
2025-04-19,Ipswich Town,,Arsenal,,Portman Road Stadium,,,,
2025-04-19,Brentford,,Brighton,,Gtech Community Stadium,,,,
2025-04-19,Aston Villa,,Newcastle Utd,,Villa Park,,,,
2025-04-19,Tottenham,,Nott'ham Forest,,Tottenham Hotspur Stadium,,,,
2025-04-19,West Ham,,Southampton,,London Stadium,,,,
2025-04-19,Crystal Palace,,Bournemouth,,Selhurst Park,,,,
2025-04-19,Everton,,Manchester City,,Goodison Park,,,,
2025-04-19,Fulham,,Chelsea,,Craven Cottage,,,,
2025-04-19,Manchester Utd,,Wolves,,Old Trafford,,,,
2025-04-26,Chelsea,,Everton,,Stamford Bridge,,,,
2025-04-26,Wolves,,Leicester City,,Molineux Stadium,,,,
2025-04-26,Newcastle Utd,,Ipswich Town,,St James' Park,,,,
2025-04-26,Manchester City,,Aston Villa,,Etihad Stadium,,,,
2025-04-26,Liverpool,,Tottenham,,Anfield,,,,
2025-04-26,Arsenal,,Crystal Palace,,Emirates Stadium,,,,
2025-04-26,Bournemouth,,Manchester Utd,,Vitality Stadium,,,,
2025-04-26,Southampton,,Fulham,,St Mary's Stadium,,,,
2025-04-26,Nott'ham Forest,,Brentford,,The City Ground,,,,
2025-04-26,Brighton,,West Ham,,The American Express Stadium,,,,
2025-05-03,Chelsea,,Liverpool,,Stamford Bridge,,,,
2025-05-03,Brentford,,Manchester Utd,,Gtech Community Stadium,,,,
2025-05-03,Manchester City,,Wolves,,Etihad Stadium,,,,
2025-05-03,West Ham,,Tottenham,,London Stadium,,,,
2025-05-03,Crystal Palace,,Nott'ham Forest,,Selhurst Park,,,,
2025-05-03,Arsenal,,Bournemouth,,Emirates Stadium,,,,
2025-05-03,Everton,,Ipswich Town,,Goodison Park,,,,
2025-05-03,Aston Villa,,Fulham,,Villa Park,,,,
2025-05-03,Brighton,,Newcastle Utd,,The American Express Stadium,,,,
2025-05-03,Leicester City,,Southampton,,King Power Stadium,,,,
2025-05-10,Liverpool,,Arsenal,,Anfield,,,,
2025-05-10,Southampton,,Manchester City,,St Mary's Stadium,,,,
2025-05-10,Tottenham,,Crystal Palace,,Tottenham Hotspur Stadium,,,,
2025-05-10,Fulham,,Everton,,Craven Cottage,,,,
2025-05-10,Newcastle Utd,,Chelsea,,St James' Park,,,,
2025-05-10,Nott'ham Forest,,Leicester City,,The City Ground,,,,
2025-05-10,Manchester Utd,,West Ham,,Old Trafford,,,,
2025-05-10,Bournemouth,,Aston Villa,,Vitality Stadium,,,,
2025-05-10,Ipswich Town,,Brentford,,Portman Road Stadium,,,,
2025-05-10,Wolves,,Brighton,,Molineux Stadium,,,,
2025-05-18,Brentford,,Fulham,,Gtech Community Stadium,,,,
2025-05-18,Arsenal,,Newcastle Utd,,Emirates Stadium,,,,
2025-05-18,Brighton,,Liverpool,,The American Express Stadium,,,,
2025-05-18,Leicester City,,Ipswich Town,,King Power Stadium,,,,
2025-05-18,West Ham,,Nott'ham Forest,,London Stadium,,,,
2025-05-18,Everton,,Southampton,,Goodison Park,,,,
2025-05-18,Aston Villa,,Tottenham,,Villa Park,,,,
2025-05-18,Chelsea,,Manchester Utd,,Stamford Bridge,,,,
2025-05-18,Manchester City,,Bournemouth,,Etihad Stadium,,,,
2025-05-18,Crystal Palace,,Wolves,,Selhurst Park,,,,
2025-05-25,Southampton,,Arsenal,,St Mary's Stadium,,,,
2025-05-25,Liverpool,,Crystal Palace,,Anfield,,,,
2025-05-25,Ipswich Town,,West Ham,,Portman Road Stadium,,,,
2025-05-25,Bournemouth,,Leicester City,,Vitality Stadium,,,,
2025-05-25,Newcastle Utd,,Everton,,St James' Park,,,,
2025-05-25,Fulham,,Manchester City,,Craven Cottage,,,,
2025-05-25,Nott'ham Forest,,Chelsea,,The City Ground,,,,
2025-05-25,Manchester Utd,,Aston Villa,,Old Trafford,,,,
2025-05-25,Wolves,,Brentford,,Molineux Stadium,,,,
2025-05-25,Tottenham,,Brighton,,Tottenham Hotspur Stadium,,,,
